ping_ms,download_mbps,upload_mbps,organization,server_ip,sponsor,city,browser,iteration,time,platform,Location,Scenario,subnet_15,client_ip_operator
18.0,161.76,22.87,iCloud Private Relay,172.226.77.41,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,131.88,22.71,iCloud Private Relay,172.226.77.33,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,399.79,22.36,iCloud Private Relay,104.28.72.32,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
17.0,512.63,22.75,iCloud Private Relay,172.226.77.40,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,437.39,22.32,iCloud Private Relay,172.226.77.34,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,166.08,22.78,iCloud Private Relay,172.226.77.37,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,534.24,22.77,iCloud Private Relay,172.226.77.36,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,507.09,23.21,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,134.69,22.91,iCloud Private Relay,172.226.77.34,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
22.0,532.57,23.36,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,142.8,22.92,iCloud Private Relay,172.226.77.34,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,392.81,22.59,iCloud Private Relay,172.226.77.39,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,530.3,23.33,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
15.0,408.3,22.52,iCloud Private Relay,172.226.77.39,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,125.57,22.88,iCloud Private Relay,172.226.77.33,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,518.9,23.24,Spectrum,76.83.153.13,Hawaiian Telcom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
19.0,427.18,22.8,iCloud Private Relay,172.226.77.38,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,523.81,23.19,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,498.89,23.32,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,500.94,22.9,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,183.52,22.64,iCloud Private Relay,172.226.77.36,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
21.0,505.16,23.03,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,493.08,23.16,Spectrum,76.83.153.13,Hawaiian Telcom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,449.2,23.36,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,463.21,22.62,iCloud Private Relay,172.226.77.40,HIDOD,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
14.0,280.35,22.49,iCloud Private Relay,104.28.72.32,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
18.0,111.03,21.48,iCloud Private Relay,172.226.77.36,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,145.84,22.74,iCloud Private Relay,172.226.77.40,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,467.11,22.75,iCloud Private Relay,172.226.77.38,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,29.67,11.57,iCloud Private Relay,172.226.76.182,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,164.52,22.62,iCloud Private Relay,172.226.77.37,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,485.48,22.98,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,172.07,22.83,iCloud Private Relay,172.226.77.34,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,174.35,22.66,iCloud Private Relay,172.226.77.36,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,532.53,22.95,iCloud Private Relay,172.226.77.36,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,462.9,22.64,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
15.0,438.85,22.69,iCloud Private Relay,172.226.77.39,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,150.8,22.66,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,339.71,22.86,iCloud Private Relay,172.226.77.36,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,450.56,22.67,iCloud Private Relay,172.226.77.39,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,498.35,23.21,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,442.11,22.55,iCloud Private Relay,172.226.77.33,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,489.46,22.48,iCloud Private Relay,172.226.77.39,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,158.92,22.57,iCloud Private Relay,172.226.77.34,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,532.05,23.4,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,151.44,22.71,iCloud Private Relay,172.226.77.41,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,167.84,22.57,iCloud Private Relay,172.226.77.34,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
